0.10, [128.0, 128.0], [0.0, 0.0], [0, 0], error:[0.0, 0.0]
5.40, [67.9008381490234, 66.89175364240761], [2.0, 2.0], [2.0555555555555554, 2.2777777777777777], error:[-0.4796234153616698, -0.44858314690529355]
5.50, [67.99771308852816, 67.5891619009369], [2.0, 2.0], [2.0277777777777777, 2.194444444444444], error:[-0.48240119313944757, -0.468027591349738]
5.60, [68.14896731178992, 67.8880511545923], [2.0, 2.0], [2.0277777777777777, 2.0833333333333335], error:[-0.48517897091722534, -0.47636092468307134]
5.70, [68.30153629560266, 68.12878700338435], [2.0, 2.0], [2.0277777777777777, 2.0555555555555554], error:[-0.4879567486950031, -0.4819164802386269]
5.80, [67.99771308852816, 68.42270340589307], [2.0, 2.0], [1.9444444444444444, 2.0555555555555554], error:[-0.48240119313944757, -0.4874720357941824]
5.90, [67.80396320951863, 68.42270340589307], [2.0, 2.0], [1.9444444444444444, 2.0], error:[-0.47684563758389203, -0.4874720357941824]
6.00, [67.6102133305091, 68.27574520463871], [2.0, 2.0], [1.9444444444444444, 1.972222222222222], error:[-0.4712900820283365, -0.48469425801640464]
6.10, [67.41646345149955, 67.8880511545923], [2.0, 2.0], [1.9444444444444444, 1.9166666666666667], error:[-0.46573452647278096, -0.47636092468307134]
6.20, [67.41646345149955, 67.78842140337383], [2.0, 2.0], [2.0, 1.972222222222222], error:[-0.46573452647278096, -0.4735831469052936]
6.30, [67.41646345149955, 67.68879165215537], [2.0, 2.0], [2.0, 1.972222222222222], error:[-0.46573452647278096, -0.4708053691275158]
6.40, [67.22271357249002, 67.48953214971843], [2.0, 2.0], [1.9444444444444444, 1.9444444444444444], error:[-0.4601789709172254, -0.46524981357196027]
6.50, [66.93208875397572, 67.38990239849996], [2.0, 2.0], [1.9166666666666667, 1.972222222222222], error:[-0.4518456375838921, -0.4624720357941825]
6.60, [67.02896369348048, 67.2902726472815], [2.0, 2.0], [2.0277777777777777, 1.972222222222222], error:[-0.4546234153616699, -0.45969425801640473]
6.70, [67.12583863298525, 66.99138339362608], [2.0, 2.0], [2.0277777777777777, 1.9166666666666667], error:[-0.45740119313944766, -0.45136092468307143]
6.80, [67.41646345149955, 66.99138339362608], [2.0, 2.0], [2.0833333333333335, 2.0], error:[-0.465734526472781, -0.45136092468307143]
6.90, [67.51333839100432, 67.2902726472815], [2.0, 2.0], [2.0277777777777777, 2.0833333333333335], error:[-0.4685123042505588, -0.4596942580164048]
7.00, [67.6102133305091, 67.48953214971843], [2.0, 2.0], [2.0277777777777777, 2.0555555555555554], error:[-0.47129008202833655, -0.4652498135719603]
7.10, [67.70708827001386, 67.48953214971843], [2.0, 2.0], [2.0277777777777777, 2.0], error:[-0.4740678598061143, -0.4652498135719603]
7.20, [67.9008381490234, 67.68879165215537], [2.0, 2.0], [2.0555555555555554, 2.0555555555555554], error:[-0.47962341536166986, -0.47080536912751586]
7.30, [68.14896731178992, 67.8880511545923], [2.0, 2.0], [2.0555555555555554, 2.0555555555555554], error:[-0.4851789709172254, -0.4763609246830714]
7.40, [68.30153629560266, 67.98768090581078], [2.0, 2.0], [2.0277777777777777, 2.0277777777777777], error:[-0.48795674869500316, -0.47913870246084916]
7.50, [67.99771308852816, 68.12878700338435], [2.0, 2.0], [1.9444444444444444, 2.0277777777777777], error:[-0.4824011931394476, -0.48191648023862693]
7.60, [67.80396320951863, 68.42270340589307], [2.0, 2.0], [1.9444444444444444, 2.0555555555555554], error:[-0.4768456375838921, -0.48747203579418247]
7.70, [67.6102133305091, 67.98768090581078], [2.0, 2.0], [1.9444444444444444, 1.9166666666666667], error:[-0.47129008202833655, -0.47913870246084916]
7.80, [67.41646345149955, 67.78842140337383], [2.0, 2.0], [1.9444444444444444, 1.9444444444444444], error:[-0.465734526472781, -0.47358314690529363]
7.90, [67.3195885119948, 67.68879165215537], [2.0, 2.0], [1.972222222222222, 1.972222222222222], error:[-0.46295674869500325, -0.47080536912751586]
8.00, [67.22271357249002, 67.5891619009369], [2.0, 2.0], [1.972222222222222, 1.972222222222222], error:[-0.4601789709172255, -0.4680275913497381]
8.10, [152.99078218175578, 153.45488710472722], [0.0, 0.0], [1.9444444444444444, 1.9444444444444444], error:[-0.6546234153616699, -0.6624720357941826]
8.20, [161.71687792709076, 161.81995119455152], [0.0, 0.0], [1.972222222222222, 1.9444444444444444], error:[-0.8518456375838921, -0.856916480238627]
8.30, [169.04185806164296, 169.2437104666323], [0.0, 0.0], [1.972222222222222, 1.972222222222222], error:[-1.0490678598061143, -1.0541387024608493]
8.40, [176.46427082870176, 176.25260927409812], [0.0, 0.0], [2.0277777777777777, 1.9166666666666667], error:[-1.251845637583892, -1.245805369127516]
8.50, [183.93441280174187, 182.9071383266699], [0.0, 0.0], [1.9166666666666667, 1.7777777777777777], error:[-1.4435123042505587, -1.4235831469052938]
8.60, [187.5960684132478, 185.95779749035066], [0.0, 0.0], [0.6666666666666666, 0.5833333333333333], error:[-1.5101789709172253, -1.481916480238627]
8.70, [186.9857924779968, 184.488215477807], [0.0, 0.0], [-0.1111111111111111, -0.27777777777777773], error:[-1.4990678598061142, -1.4541387024608494]
8.80, [180.08783481722645, 177.916163497902], [0.0, 0.0], [-1.4999999999999998, -1.6111111111111112], error:[-1.3490678598061143, -1.2930275913497382]
8.90, [173.1913393075319, 171.44950418419495], [0.0, 0.0], [-1.8611111111111112, -1.8055555555555554], error:[-1.1629567486950032, -1.1124720357941826]
9.00, [166.34537779337282, 164.5981115530268], [0.0, 0.0], [-1.8611111111111112, -1.8055555555555554], error:[-0.9768456375838921, -0.931916480238627]
9.10, [159.20024151327846, 157.20606335300826], [0.0, 0.0], [-1.972222222222222, -1.972222222222222], error:[-0.7796234153616699, -0.7346942580164049]
9.20, [150.42796023225995, 148.83073654788217], [0.0, 0.0], [-1.9166666666666667, -1.9166666666666667], error:[-0.5879567486950033, -0.5430275913497382]
